ID,Categoría,#,Idea principal,Qué se debe hacer,Qué se espera,Fundamento
produccion-senaletica-salas,Producción de contenido,11,Vigilancia y piezas de software disponible en cada sala,"Mantener actualizadas las piezas gráficas de disponibilidad de software y salas en los televisores de oficina y pasillo, evitando el lenguaje restrictivo (tipo ""prohibido"") señalado en la reunión final 2026-1.",Señalética de salas vigente durante todo el semestre y mejor recibida por los usuarios.,Comentario explícito de la reunión final de 2026-1 sobre el tono restrictivo de las piezas anteriores.
cursoslibres-linea-grafica,Acompañamiento a Cursos Libres,12,Línea gráfica de Cursos Libres,"Completar el despliegue de la nueva línea gráfica modular en medios físicos y digitales, y coordinar con Cursos Libres (CL) el mantenimiento de la cartelera y el diseño de plantillas de certificados conforme a Imagen Institucional.","Línea gráfica desplegada al 100% en todos los medios, y cartelera de CL corregida y vigente.","El despliegue de la nueva línea gráfica quedó en curso al cierre de 2026-1, a la espera de confirmación de logo."
estrategicos-extension-solidaria,Proyectos estratégicos,13,Extensión Solidaria,"Presentar la propuesta técnica y presupuestal completa (metodología, población objetivo identificada a través de Bienestar Universitario, cotizaciones ya cerradas de kit escolar con Doneta y de refrigerio con Colombia Gourmet) ante Vicedecanatura para obtener el aval institucional. Esperar a que se complete el cambio de Vicedecanatura ya en curso antes de formalizar el trámite presupuestal, para no arriesgar compromisos con la administración saliente; explorar en paralelo la vía de una convocatoria de extensión asociada a problemáticas de Bogotá con apoyo de la Vicedecanatura de Investigación y Extensión (contacto: Sandra Carlos Vargas). Una vez aprobada, iniciar la gestión de ejecución.","Aval institucional obtenido y, de ser posible dentro del semestre, ejecución de la capacitación en Excel dirigida a madres cabeza de familia (40 participantes, 15 horas).",La propuesta técnica y las cotizaciones ya están completas desde 2026-1; solo falta el aval de Vicedecanatura para avanzar a ejecución. El video de empalme confirma el aval técnico del profesor Henry y precisa que la recomendación explícita es esperar la transición de Vicedecanatura antes de tramitar el presupuesto.
produccion-carteleras,Producción de contenido,14,Carteleras UIFCE (física y digital),"Mantener la proyección de piezas en las carteleras digitales de los edificios 310 y 311 en articulación con la Dependencia de Comunicaciones de la Facultad, y conservar y actualizar la cartelera física renovada en 2025-2.",Presencia física constante y renovada de la UIFCE en los espacios de mayor circulación de la Facultad.,La articulación con Comunicaciones FCE ya se logró en 2025-2 y debe mantenerse activa como canal complementario a las redes digitales.
eventos-semana-uifce,Eventos / Proyectos estratégicos,15,Semana UIFCE — primera edición,"Ejecutar la primera edición del evento (septiembre), articulada con la Semana de Investigación de la Vicedecanatura de Investigación y Extensión (VIE, contacto Sandra Carlos Vargas), con tres componentes: (1) Hackatón en Bizagi a tres días no consecutivos (capacitación, entrega del caso, y sustentación una semana después), en equipos de 4 y con profesores como jurados, coordinada con Gau y Ángela, quienes ya tienen la capacitación y el proyecto de estudio documentados; (2) microtaller de Introducción a la Lógica de Programación ya comprometido con Jonny; (3) conferencia con invitado del sector empresarial, gestionada por el profesor Montoya vía Daniel, con fecha límite del 17 de septiembre. Formalizar con Carlos Osorio Ramírez (CIID) la donación de cupos en diplomados como premio de la Hackatón, y sumar un stand físico por cada área de la UIFCE en el pasillo de la biblioteca. Activar la Red de Aliados Académicos y solicitar estudiantes de corresponsabilidad con suficiente anticipación para que la convocatoria a la Hackatón no se anuncie de un día para otro, como ocurrió en la edición cancelada de 2025-2.","Primera edición ejecutada con éxito, con mejor convocatoria a la Hackatón que en 2025-2, cuando se canceló por baja inscripción, y con el presupuesto de patrocinios (cupos CIID, refrigerios y bonos vía VIE) confirmado antes del evento.","El documento técnico, el estudio de viabilidad y el cronograma preliminar ya fueron formulados en 2026-1; falta su ejecución. El video de empalme aporta el detalle operativo completo (estructura de tres días de la Hackatón, contactos institucionales concretos para presupuesto y patrocinios, y la lección de que la baja convocatoria en la edición cancelada se debió a difusión tardía)."
estrategicos-boletin-digital,Proyectos estratégicos — NUEVO,16,Boletín Digital UIFCE,"Diseñar la plantilla del boletín, definir el protocolo de recolección de contenido con cada área (AA, GC, DS, Virtualización, CL) y publicar tres números durante el semestre.",Tres ediciones publicadas con contenido aportado por al menos tres áreas distintas de la UIFCE en cada número.,"Responde al entregable de ""boletines informativos"" que quedó pendiente en la planeación 2026-1 y a la ausencia de un canal consolidado de información transversal entre áreas identificada en el diagnóstico."
estrategicos-red-aliados-academicos,Proyectos estratégicos — NUEVO,17,Red de Aliados Académicos UIFCE,"Construir un listado vivo de profesores y asignaturas aliadas por programa curricular (administración, economía, contaduría) que faciliten la convocatoria presencial a eventos y servicios de la UIFCE.",Red activa y utilizada como mecanismo formal de convocatoria para la Semana UIFCE y los microtalleres del semestre.,"Generaliza una necesidad puntual ya identificada en la planeación 2026-1 para la convocatoria de la Semana UIFCE, convirtiéndola en un mecanismo permanente en lugar de reconstruirla cada vez que se organiza un evento."
innovacion-repositorio-ia,Innovación y eficiencia operativa — NUEVO,18,Repositorio de material con IA y automatización de producción de video,"Evaluar y adoptar herramientas de inteligencia artificial en dos frentes: (1) un repositorio de material clasificado y buscable (piezas, hacks, videos, documentos de proyectos), y (2) automatización de tareas repetitivas de edición de video (subtitulado, recortes por plataforma, primeros cortes). Articular el repositorio con el soporte documental permanente del área (idea siguiente).","Un repositorio de material en operación que reduzca el tiempo de búsqueda frente a la práctica actual en Drive, y al menos un flujo de edición de video con una etapa automatizada funcionando de forma regular hacia el final del semestre.","El diagnóstico identificó que el conocimiento del área se pierde si no se organiza y que toda la edición de video depende hoy de un único monitor de artes trabajando de forma artesanal. La IA es la palanca que permite sostener el principio de calidad sobre cantidad sin aumentar esa carga operativa. (Ver Portafolio de Proyectos 2026-2, numeral 3.4.)"
documentacion-repositorio-permanente,Documentación y memoria institucional — NUEVO,19,Repositorio documental permanente de Estrategias Tecnológicas,"Diseñar y poner en marcha un repositorio propio de ET (carpeta estructurada en Drive con convención de nombres y metadatos mínimos: fecha, tipo de pieza, campaña, autor) donde se archive de forma permanente todo el material del área —piezas gráficas, videos, documentos de proyectos, credenciales y evidencias de gestión de redes— más allá de cada semestre, en articulación con el repositorio general que ya lidera Gestión del Conocimiento (GC). Adoptar el mecanismo propuesto en el empalme: que cada máster entrante tome accesos directos al repositorio único en lugar de copiar carpetas completas semestre a semestre, y mantener un asistente de IA con contexto del Drive (ej. Gemini) que permita ubicar cualquier archivo por consulta en lenguaje natural.","Un soporte documental único y organizado, disponible para cualquier monitor entrante desde el primer día de empalme, que reduzca el riesgo de pérdidas como la de la cuenta de Instagram y evite que el conocimiento del área se disperse entre semestres.","El diagnóstico identificó como brecha que ""el conocimiento generado se pierde si no se organiza"" (material disperso en Drive sin estructura accesible), y la contingencia de pérdida de la cuenta de Instagram evidencia de forma directa el costo de no contar con un respaldo documental centralizado de accesos, credenciales y activos del área."
documentacion-propuesta-drive-gc,Documentación y memoria institucional — NUEVO,20,Propuesta de reorganización del Drive UIFCE ante Gestión del Conocimiento (GC),"Presentar a GC la propuesta formal de repositorio documental permanente para todo el Drive de UIFCE: separar el contenido vigente de cada semestre del contenido permanente por proyecto de continuidad, con convención común de nomenclatura y uso de accesos directos en lugar de copias, tomando como piloto la carpeta ya reorganizada de ET 2026-2. Acordar con GC qué proyectos migran primero al repositorio permanente y quién lidera la migración del material disperso ya existente.","Aval de GC sobre el modelo propuesto, creación de la carpeta piloto ""ET — Repositorio Permanente"" dentro del Drive general, y un plan de migración acordado en conjunto para el contenido histórico disperso.","El diagnóstico identificó que el conocimiento del área se pierde si no se organiza, y la reunión de empalme entre la líder saliente y la entrante llegó de forma independiente a la misma conclusión: dejar de copiar carpetas completas semestre a semestre y usar accesos directos hacia un repositorio único por proyecto. Como el Drive general lo administra GC y no ET, esta idea requiere una propuesta formal y su aval antes de poder ejecutarse."
acompanamiento-interarea,Acompañamiento interárea,21,Acompañamiento Interárea,"Ejecutar la matriz de acompañamiento a Apoyos Académicos, Gestión del Conocimiento, Desarrollo, Virtualización, Cursos Libres y Coordinación bajo el protocolo de solicitud definido: canal único ante el Máster ET, SLA de 5 días hábiles para piezas puntuales y 4 semanas para campañas institucionales, y criterios de priorización ante solicitudes simultáneas.","Cumplimiento del SLA en al menos el 80% de las solicitudes, y necesidades de las seis áreas recogidas formalmente en la reunión de planeación de inicio de semestre.","La Guía de Empalme UIFCE ya reconoce a ET como responsable de redes sociales y difusión y como colaborador en micrositio, certificados y YouTube; este ítem traduce ese reconocimiento en compromisos operativos concretos."
